noise_level,planner,trial,success,steps,drift_events
Low (95/2.5/2.5),A*,156,True,40,1
Low (95/2.5/2.5),A*,157,True,122,8
Low (95/2.5/2.5),A*,158,True,127,6
Low (95/2.5/2.5),A*,159,True,70,6
Low (95/2.5/2.5),A*,160,True,41,3
Low (95/2.5/2.5),A*,161,True,38,0
Low (95/2.5/2.5),A*,162,True,120,7
Low (95/2.5/2.5),A*,163,True,38,0
Low (95/2.5/2.5),A*,164,True,118,3
Low (95/2.5/2.5),A*,165,True,241,10
Low (95/2.5/2.5),A*,166,True,107,3
Low (95/2.5/2.5),A*,167,True,123,6
Low (95/2.5/2.5),A*,168,True,284,13
Low (95/2.5/2.5),A*,169,True,38,0
Low (95/2.5/2.5),A*,170,True,42,3
Low (95/2.5/2.5),A*,171,True,39,1
Low (95/2.5/2.5),A*,172,True,38,0
Low (95/2.5/2.5),A*,173,True,51,4
Low (95/2.5/2.5),A*,174,True,172,8
Low (95/2.5/2.5),A*,175,True,179,4
Low (95/2.5/2.5),A*,176,False,300,13
Low (95/2.5/2.5),A*,177,True,38,0
Low (95/2.5/2.5),A*,178,True,74,2
Low (95/2.5/2.5),A*,179,True,63,5
Low (95/2.5/2.5),A*,180,True,38,0
Low (95/2.5/2.5),A*,181,True,175,9
Low (95/2.5/2.5),A*,182,True,154,8
Low (95/2.5/2.5),A*,183,True,53,3
Low (95/2.5/2.5),A*,184,True,181,6
Low (95/2.5/2.5),A*,185,True,38,0
Low (95/2.5/2.5),A*,186,True,286,12
Low (95/2.5/2.5),A*,187,True,209,5
Low (95/2.5/2.5),A*,188,True,125,6
Low (95/2.5/2.5),A*,189,True,39,1
Low (95/2.5/2.5),A*,190,True,256,5
Low (95/2.5/2.5),A*,191,False,300,8
Low (95/2.5/2.5),A*,192,True,112,8
Low (95/2.5/2.5),A*,193,True,41,0
Low (95/2.5/2.5),A*,194,True,127,4
Low (95/2.5/2.5),A*,195,True,49,4
Low (95/2.5/2.5),A*,196,True,108,5
Low (95/2.5/2.5),A*,197,True,125,4
Low (95/2.5/2.5),A*,198,True,135,5
Low (95/2.5/2.5),A*,199,True,283,9
Low (95/2.5/2.5),RRT-Connect,0,True,214,9
Low (95/2.5/2.5),RRT-Connect,1,False,300,11
Low (95/2.5/2.5),RRT-Connect,2,True,281,13
Low (95/2.5/2.5),RRT-Connect,3,False,300,12
Low (95/2.5/2.5),RRT-Connect,4,False,300,11
Low (95/2.5/2.5),RRT-Connect,5,True,190,14
Low (95/2.5/2.5),RRT-Connect,6,True,284,9
Low (95/2.5/2.5),RRT-Connect,7,False,300,10
Low (95/2.5/2.5),RRT-Connect,8,False,300,6
Low (95/2.5/2.5),RRT-Connect,9,False,300,8
Low (95/2.5/2.5),RRT-Connect,10,False,300,6
Low (95/2.5/2.5),RRT-Connect,11,False,300,10
Low (95/2.5/2.5),RRT-Connect,12,False,300,11
Low (95/2.5/2.5),RRT-Connect,13,False,300,12
Low (95/2.5/2.5),RRT-Connect,14,True,268,10
Low (95/2.5/2.5),RRT-Connect,15,False,300,10
Low (95/2.5/2.5),RRT-Connect,16,False,300,10
Low (95/2.5/2.5),RRT-Connect,17,True,245,11
Low (95/2.5/2.5),RRT-Connect,18,True,172,7
Low (95/2.5/2.5),RRT-Connect,19,True,294,12
Low (95/2.5/2.5),RRT-Connect,20,True,239,11
Low (95/2.5/2.5),RRT-Connect,21,True,273,11
Low (95/2.5/2.5),RRT-Connect,22,True,179,7
Low (95/2.5/2.5),RRT-Connect,23,True,296,14
Low (95/2.5/2.5),RRT-Connect,24,False,300,10
Low (95/2.5/2.5),RRT-Connect,25,True,270,9
Low (95/2.5/2.5),RRT-Connect,26,True,128,10
Low (95/2.5/2.5),RRT-Connect,27,True,208,9
Low (95/2.5/2.5),RRT-Connect,28,True,238,10
Low (95/2.5/2.5),RRT-Connect,29,True,162,7
Low (95/2.5/2.5),RRT-Connect,30,True,237,11
Low (95/2.5/2.5),RRT-Connect,31,False,300,8
Low (95/2.5/2.5),RRT-Connect,32,True,237,7
Low (95/2.5/2.5),RRT-Connect,33,False,300,19
Low (95/2.5/2.5),RRT-Connect,34,True,180,11
Low (95/2.5/2.5),RRT-Connect,35,True,218,10
Low (95/2.5/2.5),RRT-Connect,36,False,300,13
Low (95/2.5/2.5),RRT-Connect,37,True,235,11
Low (95/2.5/2.5),RRT-Connect,38,True,224,10
Low (95/2.5/2.5),RRT-Connect,39,True,261,10
Low (95/2.5/2.5),RRT-Connect,40,False,300,11
Low (95/2.5/2.5),RRT-Connect,41,False,300,7
Low (95/2.5/2.5),RRT-Connect,42,False,300,8
Low (95/2.5/2.5),RRT-Connect,43,True,177,11
Low (95/2.5/2.5),RRT-Connect,44,True,180,8
Low (95/2.5/2.5),RRT-Connect,45,True,169,9
Low (95/2.5/2.5),RRT-Connect,46,True,146,6
Low (95/2.5/2.5),RRT-Connect,47,False,300,12
Low (95/2.5/2.5),RRT-Connect,48,True,175,7
Low (95/2.5/2.5),RRT-Connect,49,True,239,8
Low (95/2.5/2.5),RRT-Connect,50,False,300,12
Low (95/2.5/2.5),RRT-Connect,51,True,197,7
Low (95/2.5/2.5),RRT-Connect,52,False,300,11
Low (95/2.5/2.5),RRT-Connect,53,True,273,6
Low (95/2.5/2.5),RRT-Connect,54,True,161,8
Low (95/2.5/2.5),RRT-Connect,55,False,300,10
Low (95/2.5/2.5),RRT-Connect,56,True,202,12
Low (95/2.5/2.5),RRT-Connect,57,True,239,8
Low (95/2.5/2.5),RRT-Connect,58,False,300,9
Low (95/2.5/2.5),RRT-Connect,59,True,236,7
Low (95/2.5/2.5),RRT-Connect,60,True,178,12
Low (95/2.5/2.5),RRT-Connect,61,True,194,10
Low (95/2.5/2.5),RRT-Connect,62,True,299,14
Low (95/2.5/2.5),RRT-Connect,63,True,199,10
Low (95/2.5/2.5),RRT-Connect,64,True,218,10
Low (95/2.5/2.5),RRT-Connect,65,True,164,6
Low (95/2.5/2.5),RRT-Connect,66,False,300,12
Low (95/2.5/2.5),RRT-Connect,67,True,210,11
Low (95/2.5/2.5),RRT-Connect,68,True,114,9
Low (95/2.5/2.5),RRT-Connect,69,True,242,6
Low (95/2.5/2.5),RRT-Connect,70,True,220,10
Low (95/2.5/2.5),RRT-Connect,71,True,173,9
Low (95/2.5/2.5),RRT-Connect,72,True,276,9
Low (95/2.5/2.5),RRT-Connect,73,True,145,7
Low (95/2.5/2.5),RRT-Connect,74,True,221,6
Low (95/2.5/2.5),RRT-Connect,75,True,278,11
Low (95/2.5/2.5),RRT-Connect,76,False,300,7
Low (95/2.5/2.5),RRT-Connect,77,True,176,6
Low (95/2.5/2.5),RRT-Connect,78,False,300,14
Low (95/2.5/2.5),RRT-Connect,79,True,156,7
Low (95/2.5/2.5),RRT-Connect,80,True,229,11
Low (95/2.5/2.5),RRT-Connect,81,True,175,7
Low (95/2.5/2.5),RRT-Connect,82,True,140,10
Low (95/2.5/2.5),RRT-Connect,83,False,300,9
Low (95/2.5/2.5),RRT-Connect,84,True,160,10
Low (95/2.5/2.5),RRT-Connect,85,True,280,10
Low (95/2.5/2.5),RRT-Connect,86,True,192,5
Low (95/2.5/2.5),RRT-Connect,87,True,181,8
Low (95/2.5/2.5),RRT-Connect,88,True,123,6
Low (95/2.5/2.5),RRT-Connect,89,True,138,7
Low (95/2.5/2.5),RRT-Connect,90,True,215,10
Low (95/2.5/2.5),RRT-Connect,91,True,143,9
Low (95/2.5/2.5),RRT-Connect,92,True,206,7
Low (95/2.5/2.5),RRT-Connect,93,False,300,11
Low (95/2.5/2.5),RRT-Connect,94,False,300,11
Low (95/2.5/2.5),RRT-Connect,95,True,233,15
Low (95/2.5/2.5),RRT-Connect,96,True,129,7
Low (95/2.5/2.5),RRT-Connect,97,True,270,12
Low (95/2.5/2.5),RRT-Connect,98,True,131,8
Low (95/2.5/2.5),RRT-Connect,99,True,258,13
Low (95/2.5/2.5),RRT-Connect,100,True,113,7
Low (95/2.5/2.5),RRT-Connect,101,True,214,8
Low (95/2.5/2.5),RRT-Connect,102,True,117,7
Low (95/2.5/2.5),RRT-Connect,103,False,300,10
Low (95/2.5/2.5),RRT-Connect,104,False,300,11
Low (95/2.5/2.5),RRT-Connect,105,True,213,10
Low (95/2.5/2.5),RRT-Connect,106,False,300,10
Low (95/2.5/2.5),RRT-Connect,107,True,217,9
Low (95/2.5/2.5),RRT-Connect,108,False,300,4
Low (95/2.5/2.5),RRT-Connect,109,True,160,9
Low (95/2.5/2.5),RRT-Connect,110,True,234,8
Low (95/2.5/2.5),RRT-Connect,111,False,300,13
Low (95/2.5/2.5),RRT-Connect,112,True,252,10
Low (95/2.5/2.5),RRT-Connect,113,True,151,6
Low (95/2.5/2.5),RRT-Connect,114,True,280,11
Low (95/2.5/2.5),RRT-Connect,115,True,162,8
Low (95/2.5/2.5),RRT-Connect,116,True,248,7
Low (95/2.5/2.5),RRT-Connect,117,True,118,8
Low (95/2.5/2.5),RRT-Connect,118,True,293,10
Low (95/2.5/2.5),RRT-Connect,119,False,300,11
Low (95/2.5/2.5),RRT-Connect,120,True,216,14
